2025-05-17 11:26:35.317626,d
2025-05-17 11:26:35.448246,o
2025-05-17 11:26:36.087861,n
2025-05-17 11:26:36.087861,n
2025-05-17 11:26:36.256074,e
2025-05-17 11:26:36.462036,Key.space
2025-05-17 11:26:37.143862,r
2025-05-17 11:26:37.262880,i
2025-05-17 11:26:37.533140,g
2025-05-17 11:26:37.767871,h
2025-05-17 11:26:37.928324,t
2025-05-17 11:26:39.080448,Key.shift
2025-05-17 11:26:39.470949,?
2025-05-17 11:26:39.783060,Key.enter
2025-05-17 11:26:47.960742,Key.ctrl_l
2025-05-17 11:26:48.467963,Key.ctrl_l
2025-05-17 11:26:48.499227,Key.ctrl_l
2025-05-17 11:26:48.531623,Key.ctrl_l
2025-05-17 11:26:48.562179,Key.ctrl_l
2025-05-17 11:26:48.594560,Key.ctrl_l
2025-05-17 11:26:48.625847,Key.ctrl_l
2025-05-17 11:26:48.658806,Key.ctrl_l
2025-05-17 11:26:48.705828,Key.ctrl_l
2025-05-17 11:26:48.726270,Key.ctrl_l
2025-05-17 11:26:48.773513,Key.ctrl_l
2025-05-17 11:26:48.804449,Key.ctrl_l
2025-05-17 11:26:48.835713,Key.ctrl_l
2025-05-17 11:26:48.866984,Key.ctrl_l
2025-05-17 11:26:48.899112,Key.ctrl_l
2025-05-17 11:26:48.930077,Key.ctrl_l
2025-05-17 11:26:48.930077,Key.ctrl_l
2025-05-17 11:26:48.961352,Key.ctrl_l
2025-05-17 11:26:48.992601,Key.ctrl_l
2025-05-17 11:26:48.992601,Key.ctrl_l
2025-05-17 11:26:49.024135,Key.ctrl_l
2025-05-17 11:26:49.055472,Key.ctrl_l
2025-05-17 11:26:49.102260,Key.ctrl_l
2025-05-17 11:26:49.134261,Key.ctrl_l
2025-05-17 11:26:49.157737,Key.ctrl_l
2025-05-17 11:26:49.192521,Key.ctrl_l
2025-05-17 11:26:49.856267,Key.ctrl_l
2025-05-17 11:26:50.365055,Key.ctrl_l
2025-05-17 11:26:50.396305,Key.ctrl_l
2025-05-17 11:26:50.396305,\x03
2025-05-17 11:26:50.396305,\x03
2025-05-17 11:26:50.396305,\x03
2025-05-17 11:26:55.268209,Key.ctrl_l
2025-05-17 11:26:55.491691,\x03
2025-05-17 11:26:56.428793,Key.ctrl_l
2025-05-17 11:26:56.656027,\x1a
2025-05-17 11:26:57.504694,Key.ctrl_l
2025-05-17 11:26:57.743434,\x19
2025-05-17 11:26:57.743434,\x19
2025-05-17 11:26:59.450221,Key.esc
2025-05-17 11:27:01.291789,Key.up
